Title,Author,Filename,Start Key,End Key,Category,Bumper Sticker,Original Language,Country,Year,Year Val,Wiki Link,Wiki Text,Paragraphs
Book of the Dead: The Papyrus of Ani,Ani,ani_papyrus.txt,THE PAPYRUS OF ANI,***END***,Polytheism,Magic spells will assist the dead in journey through the underworld and into the afterlife,Heiroglyphic,Egypt,2400-1250 BC,-1250,https://en.wikipedia.org/wiki/Book_of_the_Dead,"The Book of the Dead is an ancient Egyptian funerary text, used from the beginning of the New Kingdom (around 1550 BCE) to around 50 BCE.[1] The original Egyptian name for the text, transliterated rw nw prt m hrw[2] is translated as Book of Coming Forth by Day.[3] Another translation would be Book of Emerging Forth into the Light. ""Book"" is the closest term to describe the loose collection of texts[4] consisting of a number of magic spells intended to assist a dead person's journey through the Duat, or underworld, and into the afterlife and written by many priests over a period of about 1000 years.

The Book of the Dead was part of a tradition of funerary texts which includes the earlier Pyramid Texts and Coffin Texts, which were painted onto objects, not papyrus. Some of the spells included were drawn from these older works and date to the 3rd millennium BCE. Other spells were composed later in Egyptian history, dating to the Third Intermediate Period (11th to 7th centuries BCE). A number of the spells which made up the Book continued to be inscribed on tomb walls and sarcophagi, as had always been the spells from which they originated. The Book of the Dead was placed in the coffin or burial chamber of the deceased.

There was no single or canonical Book of the Dead. The surviving papyri contain a varying selection of religious and magical texts and vary considerably in their illustration. Some people seem to have commissioned their own copies of the Book of the Dead, perhaps choosing the spells they thought most vital in their own progression to the afterlife. The Book of the Dead was most commonly written in hieroglyphic or hieratic script on a papyrus scroll, and often illustrated with vignettes depicting the deceased and their journey into the afterlife.

The finest of examples we have of the Egyptian Book of the Dead in antiquity is the Papyrus Scroll of Ani, an Egyptian Scribe. It is at the British Museum of Art in London, and was discovered by and was taken out of Egypt in 1888 by Sir E. A. Wallis Budge, and was brought to the British Museum, where it currently resides.",343
The Categories,Aristotle,aristotle_categories.txt,*** START OF THIS PROJECT GUTENBERG EBOOK THE CATEGORIES ***,"End of the Project Gutenberg EBook of The Categories, by Aristotle",Hylomorphism,Being is a compound of matter and form,Greek,Greece,~335 BC,-335,https://en.wikipedia.org/wiki/Categories_(Aristotle),"The Categories (Greek Κατηγορίαι Katēgoriai; Latin Categoriae) is a text from Aristotle's Organon that enumerates all the possible kinds of things that can be the subject or the predicate of a proposition. They are ""perhaps the single most heavily discussed of all Aristotelian notions"".[1] The work is brief enough to be divided, not into books as is usual with Aristotle's works, but into fifteen chapters.

The Categories places every object of human apprehension under one of ten categories (known to medieval writers as the Latin term praedicamenta). Aristotle intended them to enumerate everything that can be expressed without composition or structure, thus anything that can be either the subject or the predicate of a proposition.",132
The Poetics,Aristotle,aristotle_poetics.txt,ARISTOTLE ON THE ART OF POETRY,"End of the Project Gutenberg EBook of The Poetics, by Aristotle",Dramatic and Literary Theory,"Dramatic works imitate but vary in music, character goodness, and narrative presentation",Greek,Greece,335 BC,-335,https://en.wikipedia.org/wiki/Poetics_(Aristotle),"Aristotle's Poetics (Greek: Περὶ ποιητικῆς; Latin: De Poetica;[1] c. 335 BC[2]) is the earliest surviving work of dramatic theory and first extant philosophical treatise to focus on literary theory in the West.[3] This has been the traditional view for centuries. However, recent work is now challenging whether Aristotle focuses on literary theory per se (given that not one poem exists in the treatise) or whether he focuses instead on dramatic musical theory that only has language as one of the elements.[4]

In it, Aristotle offers an account of what he calls ""poetry"" (a term which in Greek literally means ""making"" and in this context includes verse drama – comedy, tragedy, and the satyr play – as well as lyric poetry and epic poetry). They are similar in the fact that they are all imitations but different in the three ways that Aristotle describes:

Differences in music rhythm, harmony, meter and melody.
Difference of goodness in the characters.
Difference in how the narrative is presented: telling a story or acting it out.
In examining its ""first principles"", Aristotle finds two: 1) imitation and 2) genres and other concepts by which that of truth is applied/revealed in the poesis. His analysis of tragedy constitutes the core of the discussion.[5] Although Aristotle's Poetics is universally acknowledged in the Western critical tradition, ""almost every detail about his seminal work has aroused divergent opinions"".[6]

The work was lost to the Western world for a long time. It was available in the Middle Ages and early Renaissance only through a Latin translation of an Arabic version written by Averroes.[7]",72
The Gospel,"Buddha, Siddhartha Guatama",buddha_gospel.txt,500 BC,***END***,Buddhism,Human suffering and the cycle of death and rebirth can be overcome with Nirvana through enlightenment,English,India,~500 BC,-500,https://en.wikipedia.org/wiki/The_Gospel_of_Buddha,"The Gospel of Buddha was an 1894 book by Paul Carus. It was modeled on the New Testament and told the story of Buddha through parables. It was an important tool in introducing Buddhism to the west and is used as a teaching tool by some Asian sects.

Carus believed that the modern world required a new Religion of Science. By the 1890s, inspired by the meetings and conversations at the Parliament of the World's Religions in 1893, he had decided that Buddhism was the closest faith to his ideal and created The Gospel of Buddha to popularize the religion in the West.[1]

The work was assembled from existing English translations of Buddhists texts, with significant amendments and reworkings.[2] His selection of texts favoured Buddhism as a philosophy without any supernatural elements. While criticized by contemporary scholars, this interpretation proved popular in the West. It proved a popular success, with a number of reprintings. It also influenced the development of Buddhist modernism in East Asia, notably in a Japanese translation of the book by D. T. Suzuki.[1]",576
The Word,"Buddha, Siddhartha Guatama",buddha_word.txt,"BUDDHA, THE WORD",THE END,Buddhism,"Four noble truths are understood by the enlightened, where Nirvana can be achieved through following the eightfold path",English,India,~500 BC,-500,https://en.wikipedia.org/wiki/Noble_Eightfold_Path,"The Noble Eightfold Path (Pali: ariyo aṭṭhaṅgiko maggo; Sanskrit: āryāṣṭāṅgamārga)[1] is an early summary of the path of Buddhist practices leading to liberation from samsara, the painful cycle of rebirth.[2][3]

The Eightfold Path consists of eight practices: right view, right resolve, right speech, right conduct, right livelihood, right effort, right mindfulness, and right samadhi ('meditative absorption or union').[4] In early Buddhism, these practices started with understanding that the body-mind works in a corrupted way (right view), followed by entering the Buddhist path of self-observance, self-restraint, and cultivating kindness and compassion; and culminating in dhyana or samadhi, which re-inforces these practices for the development of the body-mind.[5][6][7][8] In later Buddhism, insight (Prajñā) became the central soteriological instrument, leading to a different concept and structure of the path,[5][9] in which the ""goal"" of the Buddhist path came to be specified as ending ignorance and rebirth.[10][11][12][3][13][14]

The Noble Eightfold Path is one of the principal teachings of Theravada Buddhism, taught to lead to Arhatship.[15] In the Theravada tradition, this path is also summarized as sila (morality), samadhi (meditation) and prajna (insight). In Mahayana Buddhism, this path is contrasted with the Bodhisattva path, which is believed to go beyond Arahatship to full Buddhahood.[15]

In Buddhist symbolism, the Noble Eightfold Path is often represented by means of the dharma wheel (dharmachakra), in which its eight spokes represent the eight elements of the path.",193
Analects,Confucius,confucius_analects.txt,THE CHINESE CLASSICS,End of Project Gutenberg Etext THE CHINESE CLASSICS (CONFUCIAN ANALECTS),Confucianism,Moral welfare and human virtue spring from altruism,Chinese,China,~475-206 BC,-206,https://en.wikipedia.org/wiki/Analects,"The Analects (Chinese: 論語; pinyin: Lúnyǔ; Old Chinese: *[r]u[n] ŋ(r)aʔ; literally: ""Edited Conversations""),[2] also known as the Analects of Confucius, is a collection of sayings and ideas attributed to the Chinese philosopher Confucius and his contemporaries, traditionally believed to have been compiled and written by Confucius's followers. It is believed to have been written during the Warring States period (475–221 BC), and it achieved its final form during the mid-Han dynasty (206 BC–220 AD). By the early Han dynasty the Analects was considered merely a ""commentary"" on the Five Classics, but the status of the Analects grew to be one of the central texts of Confucianism by the end of that dynasty.

During the late Song dynasty (960–1279) the importance of the Analects as a philosophy work was raised above that of the older Five Classics, and it was recognized as one of the ""Four Books"". The Analects has been one of the most widely-read and studied books in China for the last 2,000 years, and continues to have a substantial influence on Chinese and East Asian thought and values today.

Confucius believed that the welfare of a country depended on the moral cultivation of its people, beginning from the nation's leadership. He believed that individuals could begin to cultivate an all-encompassing sense of virtue through ren, and that the most basic step to cultivating ren was devotion to one's parents and older siblings. He taught that one's individual desires do not need to be suppressed, but that people should be educated to reconcile their desires via rituals and forms of propriety, through which people could demonstrate their respect for others and their responsible roles in society. He taught that a ruler's sense of virtue was his primary prerequisite for leadership. His primary goal in educating his students was to produce ethically well-cultivated men who would carry themselves with gravity, speak correctly, and demonstrate consummate integrity in all things.",509
The Doctrine of the Mean,Confucius,confucius_mean.txt,THE DOCTRINE OF THE MEAN,THE END,Confucianism,"The superior man uses self-watchfulness, leniency and sincerity to direct the mind to a state of equilibrium",Chinese,China,~500 BC,-500,https://en.wikipedia.org/wiki/Doctrine_of_the_Mean,"The Doctrine of the Mean or Zhongyong is both a doctrine of Confucianism and also the title of one of the Four Books of Confucian philosophy. The text is attributed to Zisi or Kong Ji, the only grandson of Confucius. It was published as a chapter in the Classic of Rites.

The phrase ""doctrine of the mean"" first occurs in Book VI, verse 29 of the Analects of Confucius:

The Master [Confucius] said, The virtue embodied in the doctrine of the Mean is of the highest order. But it has long been rare among people

— Analects, 6:29 (Burton Watson tr.)
The Analects never expands on what this term means, but Zisi's text, The Doctrine of the Mean, explores its meaning in detail, as well as how to apply it to one's life. The text was adopted into the canon of the Neo-Confucian movement, as compiled by Zhu Xi.

While Burton Watson translated Zhōngyōng as Doctrine of the Mean, other English-language translators have rendered it differently. James Legge called it Constant Mean. Pierre Ryckmans (aka Simon Leys) Middle Way, while Arthur Waley chose Middle Use. Ezra Pound's attempts include Unswerving Pivot, and Unwobbling Pivot. Roger T. Ames and David L. Hall titled their 2001 translation Focusing the Familiar.",70
Meditations on First Philosophy,"Descartes, Rene",descartes_meditations.txt,TO THE MOST WISE AND ILLUSTRIOUS THE,"1Copyright: 1996, James Fieser (jfieser@utm.edu), all rights",Skepticism,"Man is a thinking being capable of understanding the mind clearly, but anything else is difficult to know",Latin,France,1641,1641,https://en.wikipedia.org/wiki/Meditations_on_First_Philosophy,"Meditations on First Philosophy in which the existence of God and the immortality of the soul are demonstrated (Latin: Meditationes de Prima Philosophia, in qua Dei existentia et animæ immortalitas demonstratur) is a philosophical treatise by René Descartes first published in Latin in 1641. The French translation (by the Duke of Luynes with Descartes' supervision) was published in 1647 as Méditations Métaphysiques. The title may contain a misreading by the printer, mistaking animae immortalitas for animae immaterialitas, as suspected by A. Baillet.[1]

The book is made up of six meditations, in which Descartes first discards all belief in things that are not absolutely certain, and then tries to establish what can be known for sure. He wrote the meditations as if he had meditated for six days: each meditation refers to the last one as ""yesterday"". (In fact, Descartes began work on the Meditations in 1639.)[2] One of the most influential philosophical texts ever written, it is widely read to this day.[3]

The book consists of the presentation of Descartes' metaphysical system in its most detailed level and in the expanding of his philosophical system, first introduced in the fourth part of his Discourse on Method (1637). Descartes' metaphysical thought is also found in the Principles of Philosophy (1644), which the author intended to be a philosophy guidebook.",144
The Principles of Philosophy,"Descartes, Rene",descartes_principles.txt,SELECTIONS FROM THE PRINCIPLES OF PHILOSOPHY,"End of Project Gutenberg's The Principles of Philosophy, by Rene Descartes",Rationalism,"Philosophy is the study of wisdom, and knowledge exists in varying degrees",Latin,Dutch Republic,1644,1644,https://en.wikipedia.org/wiki/Principles_of_Philosophy,"Principles of Philosophy (Latin: Principia Philosophiæ) is a book by René Descartes. In essence it is a synthesis of the Discourse on Method and Meditations on First Philosophy[1] It was written in Latin, published in 1644 and dedicated to Elisabeth of Bohemia, with whom Descartes had a long-standing friendship. A French version (Les Principes de la Philosophie) followed in 1647. It set forth the principles of nature—the Laws of Physics—as Descartes viewed them. Most notably, it set forth the principle that in the absence of external forces, an object's motion will be uniform and in a straight line. Newton borrowed this principle from Descartes and included it in his own Principia; to this day, it is still generally referred to as Newton's First Law of Motion.[2] The book was primarily intended to replace the Aristotelian curriculum then used in French and British universities. The work provides a systematic statement of his metaphysics and natural philosophy, and represents the first truly comprehensive, mechanistic account of the universe.",185
Moral Principles in Education,"Dewey, John",dewey_education.txt,MORAL PRINCIPLES IN EDUCATION,"End of Project Gutenberg's Moral Principles in Education, by John Dewey",Instrumentalism,"A successful scientific theory reveals known either true or false about nature's unobservable objects, properties, or processes",English,United States,1909,1909,https://en.wikipedia.org/wiki/John_Dewey,"John Dewey (/ˈduːi/; October 20, 1859 – June 1, 1952) was an American philosopher, psychologist, and educational reformer whose ideas have been influential in education and social reform. Dewey is one of the primary figures associated with the philosophy of pragmatism and is considered one of the fathers of functional psychology. A Review of General Psychology survey, published in 2002, ranked Dewey as the 93rd most cited psychologist of the 20th century.[3] A well-known public intellectual, he was also a major voice of progressive education and liberalism.[4][5] Although Dewey is known best for his publications about education, he also wrote about many other topics, including epistemology, metaphysics, aesthetics, art, logic, social theory, and ethics. He was a major educational reformer for the 20th century.

The overriding theme of Dewey's works was his profound belief in democracy, be it in politics, education, or communication and journalism. As Dewey himself stated in 1888, while still at the University of Michigan, ""Democracy and the one, ultimate, ethical ideal of humanity are to my mind synonymous.""[6]

Known for his advocacy of democracy, Dewey considered two fundamental elements—schools and civil society—to be major topics needing attention and reconstruction to encourage experimental intelligence and plurality. Dewey asserted that complete democracy was to be obtained not just by extending voting rights but also by ensuring that there exists a fully formed public opinion, accomplished by communication among citizens, experts, and politicians, with the latter being accountable for the policies they adopt.",65
