Title,Author,Filename,Category,Bumper Sticker,Original Language,Country,Year,Wiki Link,Wiki Text
The Categories,Aristotle,aristotle_categories.txt,Hylomorphism,Being is a compound of matter and form,Greek,Greece,~335 BC,https://en.wikipedia.org/wiki/Categories_(Aristotle),"The Categories (Greek Κατηγορίαι Katēgoriai; Latin Categoriae) is a text from Aristotle's Organon that enumerates all the possible kinds of things that can be the subject or the predicate of a proposition. They are ""perhaps the single most heavily discussed of all Aristotelian notions"".[1] The work is brief enough to be divided, not into books as is usual with Aristotle's works, but into fifteen chapters.

The Categories places every object of human apprehension under one of ten categories (known to medieval writers as the Latin term praedicamenta). Aristotle intended them to enumerate everything that can be expressed without composition or structure, thus anything that can be either the subject or the predicate of a proposition."
The Poetics,Aristotle,aristotle_poetics.txt,Dramatic and Literary Theory,"Dramatic works imitate but vary in music, character goodness, and narrative presentation",Greek,Greece,335 BC,https://en.wikipedia.org/wiki/Poetics_(Aristotle),"Aristotle's Poetics (Greek: Περὶ ποιητικῆς; Latin: De Poetica;[1] c. 335 BC[2]) is the earliest surviving work of dramatic theory and first extant philosophical treatise to focus on literary theory in the West.[3] This has been the traditional view for centuries. However, recent work is now challenging whether Aristotle focuses on literary theory per se (given that not one poem exists in the treatise) or whether he focuses instead on dramatic musical theory that only has language as one of the elements.[4]

In it, Aristotle offers an account of what he calls ""poetry"" (a term which in Greek literally means ""making"" and in this context includes verse drama – comedy, tragedy, and the satyr play – as well as lyric poetry and epic poetry). They are similar in the fact that they are all imitations but different in the three ways that Aristotle describes:

Differences in music rhythm, harmony, meter and melody.
Difference of goodness in the characters.
Difference in how the narrative is presented: telling a story or acting it out.
In examining its ""first principles"", Aristotle finds two: 1) imitation and 2) genres and other concepts by which that of truth is applied/revealed in the poesis. His analysis of tragedy constitutes the core of the discussion.[5] Although Aristotle's Poetics is universally acknowledged in the Western critical tradition, ""almost every detail about his seminal work has aroused divergent opinions"".[6]

The work was lost to the Western world for a long time. It was available in the Middle Ages and early Renaissance only through a Latin translation of an Arabic version written by Averroes.[7]"
Analects,Confucius,confucius_analects.txt,Confucianism,Moral welfare and human virtue spring from altruism,Chinese,China,~475-206 BC,https://en.wikipedia.org/wiki/Analects,"The Analects (Chinese: 論語; pinyin: Lúnyǔ; Old Chinese: *[r]u[n] ŋ(r)aʔ; literally: ""Edited Conversations""),[2] also known as the Analects of Confucius, is a collection of sayings and ideas attributed to the Chinese philosopher Confucius and his contemporaries, traditionally believed to have been compiled and written by Confucius's followers. It is believed to have been written during the Warring States period (475–221 BC), and it achieved its final form during the mid-Han dynasty (206 BC–220 AD). By the early Han dynasty the Analects was considered merely a ""commentary"" on the Five Classics, but the status of the Analects grew to be one of the central texts of Confucianism by the end of that dynasty.

During the late Song dynasty (960–1279) the importance of the Analects as a philosophy work was raised above that of the older Five Classics, and it was recognized as one of the ""Four Books"". The Analects has been one of the most widely-read and studied books in China for the last 2,000 years, and continues to have a substantial influence on Chinese and East Asian thought and values today.

Confucius believed that the welfare of a country depended on the moral cultivation of its people, beginning from the nation's leadership. He believed that individuals could begin to cultivate an all-encompassing sense of virtue through ren, and that the most basic step to cultivating ren was devotion to one's parents and older siblings. He taught that one's individual desires do not need to be suppressed, but that people should be educated to reconcile their desires via rituals and forms of propriety, through which people could demonstrate their respect for others and their responsible roles in society. He taught that a ruler's sense of virtue was his primary prerequisite for leadership. His primary goal in educating his students was to produce ethically well-cultivated men who would carry themselves with gravity, speak correctly, and demonstrate consummate integrity in all things."
The Principles of Philosophy,"Descartes, Rene",descartes_principles.txt,Rationalism,"Philosophy is the study of wisdom, and knowledge exists in varying degrees",Latin,"Dutch Republic 
(Netherlands)",1644,https://en.wikipedia.org/wiki/Principles_of_Philosophy,"Principles of Philosophy (Latin: Principia Philosophiæ) is a book by René Descartes. In essence it is a synthesis of the Discourse on Method and Meditations on First Philosophy[1] It was written in Latin, published in 1644 and dedicated to Elisabeth of Bohemia, with whom Descartes had a long-standing friendship. A French version (Les Principes de la Philosophie) followed in 1647. It set forth the principles of nature—the Laws of Physics—as Descartes viewed them. Most notably, it set forth the principle that in the absence of external forces, an object's motion will be uniform and in a straight line. Newton borrowed this principle from Descartes and included it in his own Principia; to this day, it is still generally referred to as Newton's First Law of Motion.[2] The book was primarily intended to replace the Aristotelian curriculum then used in French and British universities. The work provides a systematic statement of his metaphysics and natural philosophy, and represents the first truly comprehensive, mechanistic account of the universe."
Moral Principles in Education,"Dewey, John",dewey_education.txt,Instrumentalism,"A successful scientific theory reveals known either true or false about nature's unobservable objects, properties, or processes",English,United States,1909,https://en.wikipedia.org/wiki/John_Dewey,"John Dewey (/ˈduːi/; October 20, 1859 – June 1, 1952) was an American philosopher, psychologist, and educational reformer whose ideas have been influential in education and social reform. Dewey is one of the primary figures associated with the philosophy of pragmatism and is considered one of the fathers of functional psychology. A Review of General Psychology survey, published in 2002, ranked Dewey as the 93rd most cited psychologist of the 20th century.[3] A well-known public intellectual, he was also a major voice of progressive education and liberalism.[4][5] Although Dewey is known best for his publications about education, he also wrote about many other topics, including epistemology, metaphysics, aesthetics, art, logic, social theory, and ethics. He was a major educational reformer for the 20th century.

The overriding theme of Dewey's works was his profound belief in democracy, be it in politics, education, or communication and journalism. As Dewey himself stated in 1888, while still at the University of Michigan, ""Democracy and the one, ultimate, ethical ideal of humanity are to my mind synonymous.""[6]

Known for his advocacy of democracy, Dewey considered two fundamental elements—schools and civil society—to be major topics needing attention and reconstruction to encourage experimental intelligence and plurality. Dewey asserted that complete democracy was to be obtained not just by extending voting rights but also by ensuring that there exists a fully formed public opinion, accomplished by communication among citizens, experts, and politicians, with the latter being accountable for the policies they adopt."
The Prophet,"Gibran, Khalil",gibran_prophet.txt,Mysticism,The human condition is linked to union with the infinite,English,United States,1923,https://en.wikipedia.org/wiki/The_Prophet_(book),"The Prophet is a book of 26 prose poetry fables written in English by the Lebanese-American poet and writer Kahlil Gibran.[1] It was originally published in 1923 by Alfred A. Knopf. It is Gibran's best known work. The Prophet has been translated into over 108 different languages, making it one of the most translated books in history,[2] and it has never been out of print.[3]"
Leviathan,"Hobbes, Thomas",hobbes_leviathan.txt,Political Philosophy,"Only strong unified government can save from ""the war of all against all""",English,England,1651,https://en.wikipedia.org/wiki/Leviathan_(Hobbes_book),"Leviathan or The Matter, Forme and Power of a Common-Wealth Ecclesiasticall and Civil—commonly referred to as Leviathan—is a book written by Thomas Hobbes (1588–1679) and published in 1651 (revised Latin edition 1668).[1][3][4] Its name derives from the biblical Leviathan. The work concerns the structure of society and legitimate government, and is regarded as one of the earliest and most influential examples of social contract theory.[5] Leviathan ranks as a classic Western work on statecraft comparable to Machiavelli's The Prince. Written during the English Civil War (1642–1651), Leviathan argues for a social contract and rule by an absolute sovereign. Hobbes wrote that civil war and the brute situation of a state of nature (""the war of all against all"") could only be avoided by strong, undivided government."
An Enquiry Concerning the Principles of Morals,"Hume, David",hume_enquiry.txt,Naturalism,"There is nothing but natural elements, principles, and relations",English,Scotland,1751,https://en.wikipedia.org/wiki/An_Enquiry_Concerning_the_Principles_of_Morals,"An Enquiry Concerning the Principles of Morals (EPM) is a book by Scottish enlightenment philosopher David Hume. In it, Hume argues (among other things) that the foundations of morals lie with sentiment, not reason.

An Enquiry Concerning the Principles of Morals is the enquiry subsequent to the Enquiry Concerning Human Understanding (EHU). Thus, it is often referred to as ""the second Enquiry"". It was originally published in 1751, three years after the first Enquiry.[1] Hume first discusses ethics in A Treatise of Human Nature (in Book 3 - ""Of Morals""). He later extracted and expounded upon the ideas he proposed there in his second Enquiry. In his short autobiographical work, My Own Life (1776), Hume states that his second Enquiry is ""of all my writings, historical, philosophical, or literary, incomparably the best."""
Essays in Radical Empiricism,"James, William",james_essays.txt,Pragmatism,The practical effects of ideas are the whole of ideas,English,United States,1906,https://en.wikipedia.org/wiki/Essays_in_Radical_Empiricism,"Essays in Radical Empiricism (ERE) by William James is a collection edited and published posthumously by his colleague and biographer Ralph Barton Perry in 1912. It was assembled from ten out of a collection of twelve reprinted journal articles published from 1904–1905 which James had deposited in August, 1906, at the Harvard University Library and the Harvard Department of Philosophy for supplemental use by his students. Perry replaced two essays from the original list with two others, one of which didn't exist at the earlier time.

Because ERE is a collection of essays written over a period of time, and ultimately not selected or collated by their author, it is not a systematic exposition of his thought[1] even though Perry suggests otherwise in his preface. This circumstance, in addition to the evolution of James own philosophic stance, has contributed to a wide variance in understanding, misunderstanding, and critical opinion of radical empiricism."
The Critique of Pure Reason,"Kant, Immanuel",kant_critique.txt,Transcendental Idealism,"The basis of ""a priori"" knowledge is both analytic and synthetic",German,Germany,1781,https://en.wikipedia.org/wiki/Critique_of_Pure_Reason,"The Critique of Pure Reason (Kritik der reinen Vernunft) is a 1781 book by the German philosopher Immanuel Kant, in which the author seeks to determine the limits and scope of metaphysics. A heavily-revised second edition was published in 1787. Also referred to as Kant's ""First Critique"", it was followed by the Critique of Practical Reason (1788) and the Critique of Judgment (1790). In the preface to the first edition, Kant explains that by a ""critique of pure reason"" he means not ""a critique of books and systems, but of the faculty of reason in general, in respect of all knowledge after which it may strive independently of all experience"" and that he aims to reach a decision about ""the possibility or impossibility of metaphysics"". The First Critique is often viewed as culminating several centuries of early-modern philosophy, and inaugurating modern philosophy.

Kant builds on the work of empiricist philosophers such as John Locke and David Hume, as well as rationalists such as Gottfried Wilhelm Leibniz and Christian Wolff. He expounds new ideas on the nature of space and time, and tries to provide solutions to Hume's scepticism regarding human knowledge of the relation of cause and effect, and René Descartes' scepticism regarding knowledge of the external world. This is argued through the transcendental idealism of objects (as appearance) and their form of appearance. Kant regards the former ""as mere representations and not as things in themselves"", and the latter as ""only sensible forms of our intuition, but not determinations given for themselves or conditions of objects as things in themselves"". This grants the possibility of a priori knowledge, since objects as appearance ""must conform to our cognition . . . which is to establish something about objects before they are given to us"". Knowledge independent of experience Kant calls ""a priori"" knowledge, while knowledge obtained through experience is termed ""a posteriori"".[2] According to Kant, a proposition is a priori if it is necessary and universal. A proposition is necessary if it could not possibly be false, and so cannot be denied without contradiction. A proposition is universal if it is true in all cases, and so does not admit of any exceptions. Knowledge gained a posteriori through the senses, Kant argues, never imparts absolute necessity and universality, because it is always possible that we might encounter an exception.[3]

Kant claims to have discovered another attribute of propositions: the distinction between ""analytic"" and ""synthetic"" judgments.[4] According to Kant, a proposition is analytic if the content of the predicate-concept of the proposition is already contained within the subject-concept of that proposition.[5] For example, Kant considers the proposition ""All bodies are extended"" analytic, since the predicate-concept ('extended') is already contained within—or ""thought in""—the subject-concept of the sentence ('body'). The distinctive character of analytic judgements was therefore that they can be known to be true simply by an analysis of the concepts contained in them; they are true by definition. In synthetic propositions, on the other hand, the predicate-concept is not already contained within the subject-concept. For example, Kant considers the proposition ""All bodies are heavy"" synthetic, since the concept 'body' does not already contain within it the concept 'weight'.[6] Synthetic judgments therefore add something to a concept, whereas analytic judgments only explain what is already contained in the concept.

Prior to Kant, it was thought that all a priori knowledge must be analytic. Kant, however, argues that our knowledge of mathematics, of the first principles of natural science, and of metaphysics, is both a priori and synthetic. The peculiar nature of this knowledge, Kant argues, cries out for explanation. The central problem of the Critique is therefore to answer the question: ""How are synthetic a priori judgements possible?""[7] It is a ""matter of life and death"" to metaphysics and to human reason, Kant argues, that the grounds of this kind of knowledge be explained.[7]

Though it received little attention when it was first published, the Critique later attracted attacks from both empiricist and rationalist critics, and became a source of controversy. It has exerted an enduring influence on Western philosophy, and helped to bring about the development of German idealism."
